nm,si
350,0.575491
351,0.356471
352,0.286561
353,0.365759
354,0.482177
355,0.54642
356,0.550769
357,0.49106
358,0.377489
359,0.28566
360,0.333729
361,0.521696
362,0.682729
363,0.72459
364,0.653648
365,0.598109
366,0.578195
367,0.602025
368,0.653412
369,0.732356
370,0.728799
371,0.616092
372,0.418686
373,0.314502
374,0.317118
375,0.38582
376,0.426751
377,0.439912
378,0.455347
379,0.370141
380,0.284383
381,0.184292
382,0.184292
383,0.162473
384,0.134408
385,0.100809
386,0.097792
387,0.109784
388,0.151947
389,0.231747
390,0.349185
391,0.430768
392,0.440318
393,0.381588
394,0.3291
395,0.297272
396,0.273725
397,0.234968
398,0.181002
399,0.173972
400,0.222908
401,0.319157
402,0.393084
403,0.442243
404,0.471833
405,0.496795
406,0.52082
407,0.56876
408,0.641789
409,0.756781
410,0.909037
411,1.09856
412,1.350635
413,1.650447
414,2.037173
415,2.530774
416,3.129363
417,3.885054
418,4.756308
419,5.749932
420,6.800126
421,7.88262
422,9.172826
423,10.7497
424,12.625424
425,14.793694
426,17.150064
427,19.865345
428,22.948036
429,26.398144
430,30.440016
431,34.917282
432,39.999542
433,45.559391
434,51.568771
435,58.530815
436,66.309929
437,75.102394
438,84.7388
439,95.074783
440,106.445312
441,118.529373
442,131.271332
443,143.934464
444,156.336456
445,167.939529
446,178.67717
447,188.252243
448,195.73143
449,201.38678
450,203.996277
451,204.249268
452,201.891479
453,196.755295
454,189.677948
455,180.435577
456,170.424332
457,159.645111
458,148.582565
459,137.527481
460,126.983452
461,117.256989
462,108.43911
463,100.681946
464,93.672462
465,87.547279
466,81.78286
467,76.406006
468,71.346817
469,66.472176
470,61.896385
471,57.533119
472,53.43652
473,49.700359
474,46.253204
475,43.195683
476,40.354416
477,37.806145
478,35.627556
479,33.757191
480,32.348816
481,31.233318
482,30.426025
483,29.727552
484,29.075518
485,28.527905
486,28.063805
487,27.724628
488,27.491781
489,27.35507
490,27.289801
491,27.24143
492,27.279982
493,27.445732
494,27.734661
495,28.048458
496,28.330124
497,28.614874
498,28.944962
499,29.324512
500,29.733292
501,30.157337
502,30.627207
503,31.137722
504,31.642096
505,32.046513
506,32.34531
507,32.593319
508,32.849689
509,33.111366
510,33.36871
511,33.636131
512,33.962605
513,34.349712
514,34.683025
515,34.898258
516,34.994328
517,35.069954
518,35.140472
519,35.175957
520,35.177681
521,35.213821
522,35.342602
523,35.552322
524,35.754543
525,35.922066
526,36.009579
527,36.038483
528,36.07114
529,36.203747
530,36.419739
531,36.605289
532,36.72121
533,36.802444
534,36.90205
535,36.986568
536,37.01408
537,36.988228
538,36.95966
539,36.953541
540,37.033474
541,37.189686
542,37.37495
543,37.485783
544,37.528717
545,37.591373
546,37.708397
547,37.800949
548,37.824905
549,37.802303
550,37.8102
551,37.838326
552,37.838421
553,37.803074
554,37.824245
555,37.928146
556,38.080986
557,38.196301
558,38.289795
559,38.406517
560,38.527626
561,38.541164
562,38.431087
563,38.372742
564,38.469547
565,38.657883
566,38.761478
567,38.773136
568,38.756416
569,38.739052
570,38.718681
571,38.695347
572,38.627937
573,38.516289
574,38.400169
575,38.33799
576,38.326466
577,38.319241
578,38.29842
579,38.266266
580,38.22879
581,38.163116
582,38.072838
583,37.957767
584,37.841766
585,37.752266
586,37.708378
587,37.681038
588,37.59827
589,37.44466
590,37.26123
591,37.092865
592,36.978355
593,36.905907
594,36.764893
595,36.489803
596,36.166805
597,35.953926
598,35.813103
599,35.58852
600,35.296055
601,35.143776
602,35.196575
603,35.362106
604,35.494141
605,35.473423
606,35.32708
607,35.102985
608,34.934399
609,34.866596
610,34.870853
611,34.952957
612,35.081154
613,35.266209
614,35.533089
615,35.846672
616,36.123653
617,36.339622
618,36.586628
619,36.924015
620,37.412342
621,37.982807
622,38.778355
623,39.727955
624,40.942467
625,42.290016
626,43.917103
627,45.757355
628,47.817768
629,49.957748
630,52.342712
631,55.08609
632,58.339516
633,62.037697
634,66.196739
635,70.84053
636,76.013222
637,81.871048
638,88.349655
639,95.529358
640,103.200859
641,111.540619
642,120.369194
643,129.948853
644,140.037109
645,150.861008
646,162.115707
647,174.218689
648,186.890366
649,200.535431
650,214.718033
651,230.192062
652,246.499374
653,263.791199
654,281.268921
655,297.930695
656,313.587555
657,326.704651
658,338.276184
659,344.359467
660,346.47699
661,341.019165
662,331.898102
663,316.090759
664,297.157196
665,272.958984
666,246.567581
667,218.620468
668,191.371384
669,165.840591
670,141.652451
671,120.414642
672,101.354759
673,85.808945
674,72.298286
675,61.403095
676,51.818737
677,44.038162
678,37.372566
679,31.945786
680,27.239611
681,23.390623
682,20.181875
683,17.601002
684,15.426461
685,13.582208
686,12.019873
687,10.734022
688,9.712231
689,8.850306
690,8.060475
691,7.281258
692,6.691932
693,6.317513
694,6.080193
695,5.785761
696,5.467121
697,5.198538
698,4.956078
699,4.699845
700,4.446646
701,4.204409
702,3.959417
703,3.798506
704,3.772625
705,3.791286
706,3.738781
707,3.563511
708,3.361753
709,3.149565
710,2.954564
711,2.815838
712,2.753162
713,2.764065
714,2.776628
715,2.758433
716,2.621843
717,2.40255
718,2.248151
719,2.218556
720,2.284214
721,2.288524
722,2.217867
723,2.154115
724,2.143485
725,2.25142
726,2.396315
727,2.395552
728,2.22942
729,1.957891
730,1.784388
731,1.712674
732,1.652751
733,1.569694
734,1.54276
735,1.621601
736,1.786686
737,1.834988
738,1.723162
739,1.533235
740,1.3824
741,1.371226
742,1.413032
743,1.473514
744,1.555313
745,1.66965
746,1.645665
747,1.513387
748,1.404329
749,1.406528
750,1.398513
751,1.358509
752,1.35999
753,1.394395
754,1.331104
755,1.185697
756,1.217773
757,1.360722
758,1.456836
759,1.393664
760,1.303391
761,1.324451
762,1.357671
763,1.363715
764,1.304859
765,1.176367
766,1.049583
767,1.015415
768,1.098662
769,1.176753
770,1.238271
771,1.29866
772,1.377858
773,1.446091
774,1.432665
775,1.360129
776,1.238388
777,1.149724
778,1.101966
779,1.101966
780,1.083992
781,1.155394
782,1.181024
783,1.089908
784,0.788504
785,0.800483
786,1.011809
787,1.262708
788,1.201871
789,1.084629
790,1.108478
791,1.173978
792,1.23355
793,1.243342
794,1.207306
795,1.15822
796,1.144645
797,1.189041
798,1.228617
799,1.176697
800,1.069097